,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
"$25,000 under $50,000","2,779","4,955","1,301","102,275","2,200","74,386","1,472","2,733","1,008","3,565",825,"1,017",449,"5,818",*         ,*              ,122,398,29,233,"1,104","42,287","19,453",918,"35,432","1,975","1,088","41,671","4,641",*         ,*              ,"2,630","7,664","2,461","7,924",135,110,"1,233"
"$50,000 under $75,000","2,096","4,603","1,365","130,265","1,684","91,466","1,558","2,875","1,114","4,574",968,"2,640",393,"5,822",*         ,*              ,105,380,42,319,"1,295","81,211","25,154","1,140","71,666","3,050","1,287","80,677","6,529",*         ,*              ,"2,067","12,544","2,032","12,488",--        ,--             ,979
"$75,000 under $100,000","1,785","4,746","1,618","155,219","1,525","115,381","1,471","2,569","1,127","4,228",949,"1,821",346,"5,842",--        ,--             ,97,334,48,410,"1,329","116,163","28,769","1,216","106,272","3,727","1,322","115,557","7,700",18,6,"1,774","16,840","1,771","16,591",--        ,--             ,761
"$100,000 or more     ","5,163","15,939","6,123","1,511,929","4,647","955,122","4,748","27,365","4,140","130,185","3,717","148,815","1,165","46,026",11,47,261,"1,023",351,"7,163","4,529","1,274,120","163,000","4,349","1,242,778","45,392","4,522","1,273,342","47,649",664,"2,799","5,158","318,439","5,157","321,377",--        ,--             ,"2,588"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98007,"10,963","20,375","5,517","607,687","9,391","452,901","5,163","9,239","3,540","19,921","2,849","27,790","1,356","18,719",*         ,*              ,316,954,106,"1,848","3,183","309,376","56,974","2,618","279,381","8,795","3,166","305,133","14,624",103,359,"9,113","86,822","8,792","87,161","1,040","1,595","4,705"
"Under $10,000        ","1,742","2,273",372,"5,937","1,281","7,155",468,623,304,476,274,-206,223,765,*         ,*              ,10,19,--        ,--             ,92,550,"1,042",55,342,48,120,"-1,036",331,--        ,--             ,397,67,554,228,418,416,743
"$10,000 under $25,000","2,405","3,992","1,122","41,934","2,030","34,185",685,811,378,939,279,-283,288,"2,005",*         ,*              ,52,122,--        ,--             ,338,"6,008","3,773",223,"4,042",360,330,"5,874",850,--        ,--             ,"1,960","1,756","1,751","1,883",454,"1,033","1,104"
"$25,000 under $50,000","2,859","5,234","1,525","103,841","2,569","89,341","1,080","1,208",617,"1,471",498,389,313,"2,432",--        ,--             ,110,308,13,106,742,"28,443","9,777",570,"21,935",947,731,"28,006","2,305",--        ,--             ,"2,813","8,602","2,568","8,195",168,146,"1,245"
"$50,000 under $75,000","1,608","3,204",834,"99,246","1,416","80,959",973,"1,660",624,"2,038",488,921,192,"3,231",--        ,--             ,48,150,25,236,663,"41,125","10,599",540,"33,587","1,322",648,"40,181","2,551",--        ,--             ,"1,602","11,280","1,582","11,149",--        ,--             ,644
"$75,000 under $100,000","1,109","2,460",662,"95,085","1,001","78,823",855,"1,317",673,"2,839",504,"1,105",148,"2,296",--        ,--             ,38,134,11,134,505,"43,537","9,582",444,"38,329","1,300",500,"43,126","2,238",*         ,*              ,"1,106","12,292","1,102","12,127",--        ,--             ,403
"$100,000 or more     ","1,240","3,212","1,002","261,644","1,094","162,438","1,102","3,620",944,"12,158",806,"25,864",192,"7,990",*         ,*              ,58,221,57,"1,372",843,"189,713","22,201",786,"181,146","4,818",837,"188,982","6,349",103,359,"1,235","52,825","1,235","53,579",--        ,--             ,566
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98008,"11,308","22,833","6,219","866,480","9,047","609,137","6,980","16,107","5,240","35,450","4,413","49,432","1,795","29,656",10,19,391,"1,279",174,"2,188","5,306","608,931","116,460","4,686","566,590","19,102","5,336","603,332","30,431",259,"1,041","9,520","135,280","9,390","135,935",693,964,"5,182"
