,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
98647,170,391,128,"5,211",144,"3,883",43,27,18,5,19,36,29,147,*         ,*              ,*         ,*              ,--        ,--             ,37,"1,810",497,19,939,11,38,"1,944",143,--        ,--             ,128,375,115,383,45,75,107
"Under $10,000        ",36,50,10,146,26,129,18,5,*         ,*              ,*         ,*              ,10,-7,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,13,1,17,6,12,12,25
"$10,000 under $25,000",51,110,37,886,43,649,*         ,*              ,*         ,*              ,19,36,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,33,22,27,27,21,51,30
"$25,000 under $50,000",55,149,55,"1,958",48,"1,462",14,13,18,5,*         ,*              ,19,154,*         ,*              ,--        ,--             ,--        ,--             ,22,701,258,19,939,11,23,719,79,--        ,--             ,54,117,43,117,12,12,35
"$50,000 under $75,000",16,43,11,953,15,794,11,9,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,15,"1,109",239,*         ,*              ,*              ,15,"1,225",64,--        ,--             ,16,81,16,79,--        ,--             ,17
"$75,000 under $100,000",12,39,15,"1,268",12,849,*         ,*              ,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,12,154,12,154,--        ,--             ,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98648,"1,270","2,574",732,"56,915","1,060","41,080",602,"1,103",257,711,221,"3,882",197,"2,435",*         ,*              ,30,104,*         ,*              ,437,"32,718","7,542",337,"26,665",878,440,"32,437","1,892",12,66,977,"6,529",939,"6,566",190,328,678
"Under $10,000        ",240,338,63,877,186,"1,179",67,50,21,21,10,22,35,-28,--        ,--             ,--        ,--             ,--        ,--             ,10,52,132,*         ,*              ,*              ,15,-152,56,--        ,--             ,41,7,60,27,73,79,99
"$10,000 under $25,000",312,553,161,"5,207",244,"3,857",105,110,39,117,33,-35,35,293,*         ,*              ,*         ,*              ,--        ,--             ,38,681,505,33,528,53,38,681,94,--        ,--             ,228,181,215,218,88,220,163
"$25,000 under $50,000",320,657,205,"11,760",275,"9,225",156,165,67,87,66,76,48,419,*         ,*              ,20,58,--        ,--             ,126,"4,827","1,815",91,"3,537",140,124,"4,750",345,--        ,--             ,311,838,272,793,29,29,182
"$50,000 under $75,000",208,536,164,"12,685",185,"9,901",127,188,51,80,42,121,37,211,*         ,*              ,*         ,*              ,--        ,--             ,120,"7,250","1,984",97,"5,903",235,120,"7,250",433,--        ,--             ,207,"1,137",202,"1,059",--        ,--             ,113
"$75,000 under $100,000",96,249,72,"8,162",91,"6,592",64,16,36,58,26,23,21,211,*         ,*              ,10,46,--        ,--             ,71,"6,066","1,223",54,"4,618",133,71,"6,066",306,--        ,--             ,96,910,96,917,--        ,--             ,60
"$100,000 or more     ",94,241,67,"18,224",79,"10,326",83,574,43,348,44,"3,675",21,"1,329",*         ,*              ,*         ,*              ,*         ,*              ,72,"13,842","1,883",62,"12,079",317,72,"13,842",658,12,66,94,"3,456",94,"3,552",--        ,--             ,61
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98649,436,"1,003",340,"18,233",377,"14,580",196,123,52,25,50,456,52,286,10,-40,*         ,*              ,--        ,--             ,138,"8,636","2,262",101,"6,351",119,138,"8,601",604,--        ,--             ,348,"1,653",330,"1,567",65,107,221
"Under $10,000        ",75,109,18,392,53,443,22,19,12,1,10,-4,19,38,--        ,--             ,--        ,--             ,--        ,--             ,14,202,172,11,169,8,15,195,39,--        ,--             ,13,2,20,6,24,30,28
"$10,000 under $25,000",89,157,44,"1,512",73,"1,218",26,17,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,65,52,60,54,28,66,40
"$25,000 under $50,000",117,301,121,"4,436",109,"3,817",47,38,10,3,11,65,15,-42,10,-40,*         ,*              ,--        ,--             ,36,"1,394",557,25,982,28,35,"1,366",110,--        ,--             ,115,284,97,248,13,11,66
"$50,000 under $75,000",98,280,107,"5,986",90,"4,806",56,17,11,2,12,25,18,290,*         ,*              ,--        ,--             ,--        ,--             ,55,"3,375",817,40,"2,463",58,55,"3,375",201,--        ,--             ,98,545,96,491,--        ,--             ,55
"$75,000 under $100,000",35,95,28,"2,974",32,"2,472",27,12,19,19,17,370,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,15,"1,277",335,12,"1,017",14,15,"1,277",114,--        ,--             ,35,318,35,309,--        ,--             ,17
"$100,000 or more     ",22,61,22,"2,933",20,"1,824",18,20,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,18,"2,388",381,13,"1,720",11,18,"2,388",140,--        ,--             ,22,452,22,459,--        ,--             ,15
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98650,403,860,241,"18,291",324,"11,311",226,492,116,336,105,"1,972",92,397,25,-135,*         ,*              ,--        ,--             ,116,"9,763","2,507",98,"8,358",331,116,"9,841",679,*         ,*              ,306,"1,936",302,"1,926",58,101,236
"Under $10,000        ",85,114,13,200,63,377,37,46,15,10,15,14,18,45,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,22,3,33,13,20,18,46
"$10,000 under $25,000",99,199,59,"1,709",74,"1,221",39,69,18,30,12,-14,25,184,15,-118,*         ,*              ,--        ,--             ,15,279,319,12,197,30,17,252,62,--        ,--             ,67,50,68,78,38,83,54
"$25,000 under $50,000",110,268,92,"4,104",95,"3,200",65,72,31,64,28,8,37,163,*         ,*              ,*         ,*              ,--        ,--             ,37,"1,402",510,29,"1,114",45,35,"1,324",112,--        ,--             ,109,273,93,255,*         ,*              ,64
"$50,000 under $75,000",54,137,41,"3,362",45,"2,142",43,65,22,74,29,-23,*         ,*              ,10,-17,--        ,--             ,--        ,--             ,24,"1,510",416,22,"1,381",44,23,"1,441",124,--        ,--             ,54,327,54,310,--        ,--             ,35
"$75,000 under $100,000",22,63,19,"1,850",20,"1,401",13,13,10,9,*         ,*              ,12,5,*         ,*              ,--        ,--             ,--        ,--             ,14,"1,167",236,11,916,21,14,"1,167",91,--        ,--             ,22,191,22,186,--        ,--             ,14
"$100,000 or more     ",33,79,17,"7,066",27,"2,970",29,227,20,149,21,"1,987",*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,26,"5,405","1,026",24,"4,750",191,27,"5,657",290,*         ,*              ,32,"1,092",32,"1,084",--        ,--             ,23
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98651,340,690,166,"18,470",278,"11,199",193,306,116,593,104,879,54,129,*         ,*              ,18,65,*         ,*              ,120,"10,869","2,241",102,"9,923",245,122,"10,800",678,*         ,*              ,269,"2,197",262,"2,192",37,51,185
"Under $10,000        ",60,83,12,233,44,218,22,22,13,9,12,-21,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,*         ,*              ,*              ,12,135,30,--        ,--             ,*         ,*              ,14,2,14,11,29
"$10,000 under $25,000",68,119,35,"1,137",53,854,24,15,10,8,11,-10,20,116,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,60,42,49,66,23,40,38
"$25,000 under $50,000",91,202,55,"3,422",76,"2,525",51,107,25,71,23,-11,20,12,*         ,*              ,18,65,--        ,--             ,42,"1,452",610,34,"1,230",71,32,"1,248",104,--        ,--             ,88,229,78,229,*         ,*              ,50
"$50,000 under $75,000",55,132,33,"3,366",48,"2,588",43,55,24,77,23,-11,14,1,--        ,--             ,*         ,*              ,--        ,--             ,25,"1,592",389,19,"1,208",46,25,"1,592",129,--        ,--             ,55,316,55,294,--        ,--             ,30
"$75,000 under $100,000",29,64,11,"2,503",23,"1,594",24,27,16,17,13,-26,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,22,"1,903",427,19,"1,663",39,22,"1,903",158,--        ,--             ,29,272,29,271,--        ,--             ,14
"$100,000 or more     ",37,90,20,"7,809",34,"3,420",29,80,28,411,22,958,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,31,"5,922",815,30,"5,822",89,31,"5,922",257,*         ,*              ,37,"1,338",37,"1,330",--        ,--             ,24
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98660,"4,334","7,832","2,192","197,071","3,693","138,390","1,585","4,961",796,"3,767",690,"14,798",553,"8,693",--        ,--             ,89,212,34,530,"1,371","120,962","22,479","1,127","106,046","3,217","1,376","119,782","7,090",39,152,"3,358","26,055","3,221","26,185",793,"1,236","2,156"
"Under $10,000        ",836,"1,132",231,"2,625",620,"3,492",181,377,87,113,82,297,107,-1,--        ,--             ,*         ,*              ,--        ,--             ,42,268,444,31,198,36,57,-503,134,--        ,--             ,141,20,225,88,336,307,358
"$10,000 under $25,000","1,192","2,025",645,"20,459",988,"16,074",286,409,132,187,107,36,131,"1,242",--        ,--             ,16,29,*         ,*              ,150,"2,676","1,906",107,"1,952",145,146,"2,615",327,--        ,--             ,925,811,843,890,346,841,607
"$25,000 under $50,000","1,243","2,308",680,"45,212","1,145","39,563",406,437,186,346,147,303,135,929,--        ,--             ,32,68,14,95,433,"16,622","5,548",331,"12,663",416,430,"16,509","1,627",--        ,--             ,"1,231","3,608","1,101","3,359",111,88,626
"$50,000 under $75,000",551,"1,191",347,"33,422",497,"27,915",316,454,151,505,122,373,74,694,--        ,--             ,16,35,*         ,*              ,331,"20,244","4,723",274,"16,731",597,330,"20,190","1,310",*         ,*              ,549,"3,509",540,"3,341",--        ,--             ,256
"$75,000 under $100,000",274,635,167,"23,265",245,"18,495",188,328,105,214,90,552,50,"1,198",--        ,--             ,12,38,*         ,*              ,213,"18,155","3,763",198,"16,867",475,211,"17,974","1,103",--        ,--             ,274,"2,703",274,"2,766",--        ,--             ,158
"$100,000 or more     ",238,541,122,"72,088",198,"32,851",208,"2,956",135,"2,402",142,"13,237",56,"4,631",--        ,--             ,13,42,20,435,202,"62,997","6,095",186,"57,635","1,548",202,"62,997","2,589",39,152,238,"15,404",238,"15,741",--        ,--             ,151
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98661,"15,208","30,609","10,053","721,125","13,076","449,450","5,196","17,751","2,538","21,316","2,197","106,855","1,890","15,288",16,-27,302,877,77,966,"4,411","442,128","80,025","3,631","400,277","12,791","4,406","437,816","26,256",138,"1,073","11,595","92,896","10,855","91,366","3,071","5,468","8,099"
"Under $10,000        ","2,945","4,454","1,204","10,818","2,292","12,900",553,576,260,402,259,-13,369,225,*         ,*              ,*         ,*              ,--        ,--             ,112,663,"1,294",66,410,63,143,"-2,215",443,10,8,524,80,810,306,"1,203","1,402","1,470"
"$10,000 under $25,000","4,475","8,532","3,095","77,033","3,792","61,396",967,"1,117",415,784,337,312,471,"3,451",*         ,*              ,64,105,*         ,*              ,493,"9,024","5,947",378,"6,975",676,480,"8,799","1,230",--        ,--             ,"3,355","2,769","2,927","2,964","1,430","3,683","2,463"
"$25,000 under $50,000","4,296","8,945","3,070","154,412","3,879","131,314","1,434","1,655",594,"1,134",489,531,452,"2,970",*         ,*              ,110,311,19,92,"1,360","52,281","18,320","1,046","40,431","1,969","1,347","51,763","4,925",--        ,--             ,"4,227","11,517","3,678","10,506",438,383,"2,204"
"$50,000 under $75,000","1,891","4,555","1,456","115,088","1,711","94,514","1,017","1,233",469,879,394,"1,062",277,"2,484",16,-27,62,192,24,156,"1,196","73,710","18,672",993,"61,368","2,253","1,189","73,291","5,268",*         ,*              ,"1,889","11,162","1,842","10,430",--        ,--             ,"1,000"
"$75,000 under $100,000",798,"2,105",651,"68,254",734,"55,167",547,657,288,757,231,"1,025",144,"1,695",*         ,*              ,29,104,*         ,*              ,592,"50,919","10,714",531,"45,776","1,466",590,"50,754","3,322",10,20,797,"7,602",796,"7,377",--        ,--             ,421
"$100,000 or more     ",803,"2,018",577,"295,520",668,"94,159",678,"12,513",512,"17,360",487,"103,938",177,"4,463",*         ,*              ,37,165,34,718,658,"255,531","25,078",617,"245,317","6,364",657,"255,424","11,068",118,"1,045",803,"59,766",802,"59,783",--        ,--             ,541
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98662,"11,409","24,550","8,079","524,789","9,645","387,506","4,741","8,498","2,087","5,960","1,849","28,049","1,575","16,719",26,-47,299,845,50,715,"4,762","341,129","78,674","4,003","296,809","10,940","4,775","337,761","22,364",75,272,"9,206","58,596","8,732","56,953","1,690","2,867","6,138"
"Under $10,000        ","1,857","2,608",549,"5,862","1,360","7,716",459,555,217,300,203,-163,239,227,14,4,10,21,*         ,*              ,105,688,"1,219",70,474,82,138,"-1,901",371,--        ,--             ,367,56,542,222,573,659,853
"$10,000 under $25,000","2,625","4,693","1,493","45,526","2,040","33,456",802,"1,138",340,641,281,54,309,"2,369",*         ,*              ,34,66,--        ,--             ,446,"8,133","5,757",336,"6,069",552,438,"7,988","1,153",--        ,--             ,"1,997","1,661","1,820","1,859",744,"1,860","1,430"
"$25,000 under $50,000","3,260","7,343","2,681","119,646","2,886","98,282","1,278","1,184",470,793,402,504,468,"3,685",*         ,*              ,100,260,13,76,"1,445","55,368","18,958","1,137","43,669","1,927","1,438","55,099","4,837",--        ,--             ,"3,178","8,318","2,765","7,724",373,348,"1,816"
"$50,000 under $75,000","2,018","5,327","1,860","124,083","1,851","103,112","1,035","1,509",450,867,381,865,293,"2,569",12,-51,87,251,14,81,"1,406","86,878","21,982","1,203","74,387","2,639","1,403","86,708","6,139",*         ,*              ,"2,017","11,399","1,959","10,332",--        ,--             ,"1,099"
"$75,000 under $100,000",967,"2,686",887,"82,703",895,"67,747",604,869,271,392,233,"1,322",133,"1,736",*         ,*              ,32,106,*         ,*              ,783,"67,109","14,416",726,"62,189","1,854",781,"66,914","4,303",*         ,*              ,966,"8,873",964,"8,480",--        ,--             ,524
"$100,000 or more     ",682,"1,893",609,"146,969",613,"77,193",563,"3,243",339,"2,967",349,"25,467",133,"6,133",*         ,*              ,36,141,23,558,577,"122,953","16,342",531,"110,021","3,886",577,"122,953","5,561",75,272,681,"28,289",682,"28,336",--        ,--             ,416
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98663,"5,895","11,535","3,491","242,485","4,994","181,678","2,293","5,228","1,105","3,030",918,"12,298",745,"7,901",*         ,*              ,158,429,33,364,"1,972","134,539","31,699","1,601","115,377","3,963","1,971","133,895","9,013",38,198,"4,743","24,913","4,535","24,473",964,"1,556","3,008"
"Under $10,000        ","1,014","1,410",307,"4,337",763,"3,984",230,223,114,165,70,149,127,201,--        ,--             ,*         ,*              ,--        ,--             ,47,301,662,31,193,29,56,-9,126,--        ,--             ,233,33,333,132,342,388,436
"$10,000 under $25,000","1,540","2,621",807,"26,502","1,250","20,297",424,500,172,236,127,-123,176,"1,327",--        ,--             ,28,46,*         ,*              ,212,"3,985","2,736",149,"2,852",228,208,"3,910",498,--        ,--             ,"1,203","1,017","1,083","1,136",444,"1,018",774
"$25,000 under $50,000","1,721","3,409","1,109","62,441","1,527","52,113",630,739,261,476,232,316,178,"1,323",*         ,*              ,59,166,15,65,618,"23,662","7,737",466,"17,909",815,614,"23,508","2,020",--        ,--             ,"1,689","4,748","1,517","4,341",178,150,882
"$50,000 under $75,000",881,"2,115",649,"53,639",786,"43,590",465,705,229,507,193,272,125,"1,340",*         ,*              ,40,119,*         ,*              ,514,"31,632","7,583",427,"26,308",858,512,"31,527","2,284",*         ,*              ,880,"5,228",864,"4,944",--        ,--             ,474
"$75,000 under $100,000",395,"1,039",318,"33,693",368,"28,210",257,322,143,260,119,351,65,951,--        ,--             ,13,32,*         ,*              ,301,"25,810","5,217",263,"22,628",688,301,"25,810","1,665",*         ,*              ,395,"3,757",395,"3,663",--        ,--             ,214
"$100,000 or more     ",344,941,301,"61,873",300,"33,484",287,"2,739",186,"1,386",177,"11,333",74,"2,759",*         ,*              ,18,66,18,299,280,"49,149","7,764",265,"45,487","1,345",280,"49,149","2,420",38,198,343,"10,130",343,"10,257",--        ,--             ,228
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98664,"9,594","18,861","5,445","544,595","8,011","330,818","4,203","16,658","2,224","18,738","1,942","42,350","1,140","13,270",10,-57,261,819,72,928,"3,667","380,727","74,067","3,161","352,523","16,100","3,684","376,091","22,195",109,525,"7,908","71,331","7,491","70,637","1,311","2,142","5,017"
"Under $10,000        ","1,455","2,003",396,"3,118","1,063","6,164",419,"1,185",226,268,210,654,163,411,10,-57,*         ,*              ,--        ,--             ,83,486,"1,071",56,352,68,121,"-2,990",594,--        ,--             ,310,49,427,163,423,459,672
"$10,000 under $25,000","2,372","3,936","1,104","40,987","1,867","30,313",679,931,335,603,278,48,211,"1,604",--        ,--             ,38,100,12,55,325,"5,927","4,063",253,"4,648",401,321,"5,854",780,--        ,--             ,"1,889","1,573","1,664","1,666",615,"1,452","1,255"
"$25,000 under $50,000","2,674","5,262","1,647","96,805","2,346","79,026","1,029","1,067",449,852,372,180,298,"2,548",*         ,*              ,89,238,*         ,*              ,947,"36,021","12,382",770,"29,372","1,304",936,"35,588","3,116",--        ,--             ,"2,628","7,362","2,356","6,977",273,231,"1,287"
"$50,000 under $75,000","1,517","3,560","1,082","92,959","1,353","75,075",849,"1,347",421,888,348,862,200,"1,978",--        ,--             ,52,160,12,81,991,"61,199","15,699",860,"53,258","2,011",989,"61,092","4,641",*         ,*              ,"1,509","9,033","1,475","8,549",--        ,--             ,829
"$75,000 under $100,000",736,"1,940",603,"62,950",674,"49,570",518,864,276,679,232,"1,246",117,"2,009",*         ,*              ,41,146,11,128,582,"49,900","10,822",534,"45,877","1,490",581,"49,816","3,429",*         ,*              ,734,"6,862",733,"6,717",--        ,--             ,410
"$100,000 or more     ",840,"2,160",613,"247,776",708,"90,670",709,"11,264",517,"15,448",502,"39,360",151,"4,720",*         ,*              ,41,175,37,664,739,"227,194","30,030",688,"219,016","10,826",736,"226,731","9,635",109,525,838,"46,452",836,"46,565",--        ,--             ,564
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98665,"9,917","20,446","6,244","479,084","8,224","340,418","4,440","9,671","2,250","7,586","1,962","23,418","1,372","15,047",27,-317,274,832,83,972,"3,982","312,921","70,650","3,420","285,380","10,062","3,972","310,969","20,570",86,222,"8,001","55,087","7,641","54,669","1,304","2,007","5,164"
"Under $10,000        ","1,651","2,210",418,"5,979","1,210","6,831",424,403,192,196,183,104,204,-341,*         ,*              ,*         ,*              ,10,35,98,610,"1,048",62,414,60,117,-237,357,--        ,--             ,346,56,477,168,473,481,730
"$10,000 under $25,000","2,284","3,958","1,168","39,407","1,767","28,848",705,"1,176",333,572,256,16,244,"1,701",*         ,*              ,40,94,*         ,*              ,369,"6,746","5,514",264,"4,840",432,360,"6,592",956,--        ,--             ,"1,732","1,437","1,562","1,580",572,"1,323","1,202"
"$25,000 under $50,000","2,621","5,454","1,787","95,989","2,243","75,977","1,052","1,271",464,"1,145",419,540,358,"2,904",16,-21,84,221,10,66,993,"38,208","13,775",800,"30,901","1,563",978,"37,678","3,377",--        ,--             ,"2,567","6,958","2,288","6,538",259,203,"1,349"
"$50,000 under $75,000","1,618","4,048","1,349","99,420","1,447","79,462",934,"1,380",458,799,378,"1,461",250,"2,500",*         ,*              ,63,195,12,97,"1,086","67,546","17,232",950,"59,213","2,046","1,083","67,358","5,018",11,6,"1,614","9,389","1,573","8,819",--        ,--             ,901
"$75,000 under $100,000",872,"2,400",790,"74,691",791,"60,001",587,"1,007",320,734,268,"1,020",147,"1,952",11,-296,35,119,12,140,689,"59,333","12,564",638,"54,979","1,900",688,"59,250","3,904",*         ,*              ,872,"8,038",870,"7,746",--        ,--             ,452
"$100,000 or more     ",871,"2,376",732,"163,598",766,"89,299",738,"4,434",483,"4,140",458,"20,277",169,"6,331",*         ,*              ,52,203,39,634,747,"140,478","20,517",706,"135,033","4,061",746,"140,328","6,958",75,216,870,"29,209",871,"29,818",--        ,--             ,530
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98666,636,"1,045",236,"37,644",478,"21,014",304,958,183,899,159,"4,090",105,"2,366",*         ,*              ,11,26,*         ,*              ,293,"28,221","6,322",229,"23,362",584,297,"27,886","1,470",15,80,515,"5,408",509,"5,618",68,90,371
"Under $10,000        ",115,141,16,-233,65,376,34,30,25,43,14,-23,17,-41,--        ,--             ,--        ,--             ,--        ,--             ,10,67,131,*         ,*              ,*              ,18,-155,32,--        ,--             ,23,3,36,17,33,27,65
"$10,000 under $25,000",127,176,36,"2,221",94,"1,516",44,74,26,82,30,49,23,227,--        ,--             ,--        ,--             ,*         ,*              ,40,690,726,30,510,51,39,676,120,--        ,--             ,102,89,95,123,21,49,71
"$25,000 under $50,000",172,264,59,"6,129",141,"4,741",69,106,39,49,35,36,23,324,*         ,*              ,11,26,--        ,--             ,71,"2,622",862,56,"2,085",90,68,"2,523",205,--        ,--             ,170,510,158,517,14,14,90
"$50,000 under $75,000",84,149,39,"5,114",71,"4,139",45,28,25,69,16,72,18,246,--        ,--             ,*         ,*              ,*         ,*              ,57,"3,469","1,026",44,"2,677",66,57,"3,469",239,--        ,--             ,82,543,82,545,--        ,--             ,42
"$75,000 under $100,000",49,106,27,"4,183",43,"3,202",35,32,16,93,10,44,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,39,"3,364",768,33,"2,836",63,39,"3,364",218,--        ,--             ,49,488,49,509,--        ,--             ,33
"$100,000 or more     ",89,209,59,"20,230",64,"7,040",77,688,52,563,54,"3,912",24,"1,610",--        ,--             ,*         ,*              ,*         ,*              ,76,"18,009","2,809",66,"15,254",314,76,"18,009",656,15,80,89,"3,775",89,"3,907",--        ,--             ,70
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98668,991,"1,700",409,"48,730",760,"29,189",472,"1,392",226,"1,095",216,"4,459",142,"1,170",--        ,--             ,14,31,*         ,*              ,331,"28,851","6,209",261,"24,931",879,336,"25,047","1,695",11,45,770,"6,962",759,"7,048",155,215,538
"Under $10,000        ",185,251,51,-255,110,772,57,98,29,38,32,19,31,-1,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,16,-382,44,--        ,--             ,22,3,47,32,84,76,92
"$10,000 under $25,000",242,383,103,"4,107",174,"2,712",89,121,36,121,31,-10,28,294,--        ,--             ,14,31,--        ,--             ,49,827,643,34,562,33,39,719,134,--        ,--             ,191,153,167,180,59,126,119
"$25,000 under $50,000",287,473,116,"10,544",247,"8,058",124,126,48,39,51,70,43,426,--        ,--             ,*         ,*              ,*         ,*              ,110,"4,152","1,334",85,"3,221",150,110,"4,152",366,--        ,--             ,284,897,273,922,12,13,164
"$50,000 under $75,000",143,297,71,"8,701",123,"6,676",93,147,45,157,39,76,23,337,--        ,--             ,*         ,*              ,*         ,*              ,78,"4,769","1,304",61,"3,759",165,78,"4,769",321,--        ,--             ,141,887,140,894,--        ,--             ,77
"$75,000 under $100,000",69,154,35,"5,893",59,"4,295",49,42,22,129,20,218,17,114,--        ,--             ,--        ,--             ,*         ,*              ,48,"4,157",849,40,"3,468",90,48,"4,157",253,--        ,--             ,69,699,69,704,--        ,--             ,37
"$100,000 or more     ",65,142,33,"19,740",47,"6,676",60,858,46,611,43,"4,086",*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,46,"14,946","2,079",41,"13,921",441,45,"11,632",577,11,45,63,"4,323",63,"4,316",--        ,--             ,49
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98670,10,23,7,385,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
"Under $10,000        ",10,23,7,385,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
"$10,000 under $25,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
