Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98004,"12,774","23,307","5,430","2,353,756","9,356","940,877","8,454","114,389","6,790","133,202","6,174","809,194","2,261","68,185",31,-474,426,"1,838",376,"8,600","6,006","2,034,546","286,079","5,364","1,975,610","81,155","6,023","1,974,415","72,521",965,"8,070","10,939","495,688","10,935","500,941",445,557,"6,835"
"Under $10,000        ","1,890","2,304",233,"-54,264","1,075","7,923",831,"3,853",798,"3,268",713,"9,330",268,"-10,345",0,0,11,39,0,0,136,808,"2,636",91,535,111,215,"-55,361","1,510",15,157,506,233,658,624,236,158,942
"$10,000 under $25,000","1,771","2,344",361,"30,720","1,241","20,471",791,"1,667",582,"1,851",496,818,241,"2,227",0,0,35,111,*         ,*              ,347,"6,336","5,710",250,"4,560",465,336,"6,150","1,155",0,0,"1,461","1,608","1,390","1,852",154,350,838
"$25,000 under $50,000","2,460","3,483",548,"90,429","1,927","66,457","1,252","3,121",809,"3,361",692,"1,881",315,"4,147",*         ,*              ,96,327,26,142,715,"26,922","12,823",571,"21,615","1,251",694,"26,146","2,860",0,0,"2,366","7,706","2,303","7,985",55,49,"1,041"
"$50,000 under $75,000","1,587","2,616",498,"97,641","1,170","64,257","1,083","3,714",767,"4,936",663,"2,741",254,"4,590",*         ,*              ,62,239,18,187,819,"51,053","16,390",701,"43,759","1,967",801,"49,952","4,199",*         ,*              ,"1,558","10,797","1,543","11,196",0,0,770
"$75,000 under $100,000","1,223","2,422",542,"105,918",942,"71,175",966,"3,149",767,"4,382",642,"3,558",233,"5,588",*         ,*              ,62,249,34,436,754,"65,798","18,325",677,"59,082","2,603",750,"65,458","4,665",17,31,"1,214","12,786","1,212","13,318",0,0,613
"$100,000 or more     ","3,843","10,138","3,248","2,083,312","3,001","710,594","3,531","98,885","3,067","115,404","2,968","790,866",950,"61,978",31,-474,160,873,298,"7,835","3,235","1,883,629","230,195","3,074","1,846,059","74,758","3,227","1,882,070","58,132",933,"7,882","3,834","462,558","3,829","465,966",0,0,"2,631"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98005,"9,028","16,875","4,267","1,081,683","7,340","551,608","5,365","30,216","3,840","38,875","3,452","280,169","1,397","41,697",10,-32,271,"1,084",209,"4,080","3,932","839,927","118,275","3,373","780,396","26,100","3,858","823,397","29,056",364,"1,486","7,763","218,672","7,677","219,518",467,579,"4,450"
"Under $10,000        ","1,268","1,519",133,"-6,067",861,"6,923",495,678,390,772,371,825,168,-293,0,0,*         ,*              ,*         ,*              ,58,322,905,33,177,45,118,"-8,715",528,0,0,337,60,440,214,216,141,579
"$10,000 under $25,000","1,413","2,050",442,"24,597","1,093","18,440",514,873,317,855,271,404,168,"1,245",0,0,24,85,0,0,229,"4,063","3,444",149,"2,694",277,215,"3,822",616,0,0,"1,147","1,091","1,073","1,209",180,366,668
"$25,000 under $50,000","2,013","3,068",630,"74,459","1,731","60,557",880,"1,519",530,"1,567",439,594,242,"3,113",10,-32,74,195,19,134,657,"25,435","9,827",499,"19,236",920,607,"23,370","2,014",0,0,"1,959","6,410","1,870","6,546",71,72,917
"$50,000 under $75,000","1,303","2,401",556,"80,081","1,102","62,452",833,"1,424",530,"1,689",453,"1,443",192,"3,424",0,0,58,261,29,260,690,"42,473","11,884",564,"34,840","1,335",642,"39,639","2,680",*         ,*              ,"1,293","8,770","1,274","8,964",0,0,620
"$75,000 under $100,000",933,"2,023",510,"80,772",767,"59,394",734,"1,640",488,"1,910",437,"2,142",146,"2,082",0,0,34,158,16,186,564,"48,962","11,736",502,"43,724","1,376",553,"48,023","2,939",*         ,*              ,931,"9,779",927,"9,718",0,0,426
"$100,000 or more     ","2,098","5,814","1,996","827,841","1,786","343,842","1,909","24,082","1,585","32,082","1,481","274,761",481,"32,126",*         ,*              ,81,385,145,"3,500","1,734","718,672","80,479","1,626","679,725","22,147","1,723","717,258","20,279",364,"1,486","2,096","192,562","2,093","192,867",0,0,"1,240"
