Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
"$50,000 under $75,000",19,49,13,"1,215",25,"1,546",14,8,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,16,"1,044",195,*         ,*              ,*              ,17,"1,046",51,0,0,19,110,19,108,0,0,18
"$75,000 under $100,000",10,29,11,857,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,10,104,10,103,0,0,*         
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98629,"3,305","7,799","2,621","196,783","2,830","146,249","1,705","3,604",768,"3,057",703,"17,178",573,"6,444",159,"-1,627",92,359,27,205,"1,703","146,880","34,773","1,423","128,741","3,355","1,717","144,452","10,024",86,232,"2,759","22,347","2,674","22,102",311,528,"1,719"
"Under $10,000        ",476,620,77,-254,354,"2,203",127,219,79,91,66,234,76,-47,12,-105,12,27,*         ,*              ,22,138,293,13,83,17,44,"-1,849",147,0,0,129,22,174,64,96,87,205
"$10,000 under $25,000",569,950,244,"9,778",453,"7,355",174,213,77,132,66,101,62,437,10,-74,*         ,*              ,0,0,91,"1,598","1,449",59,"1,064",95,89,"1,554",256,0,0,413,342,382,404,145,364,267
"$25,000 under $50,000",719,"1,646",567,"26,850",611,"20,964",330,545,146,161,115,200,142,"1,132",26,-282,20,86,*         ,*              ,326,"12,665","5,300",261,"10,275",484,324,"12,578","1,183",0,0,680,"1,708",623,"1,673",70,77,380
"$50,000 under $75,000",643,"1,808",677,"40,072",596,"34,140",381,351,136,203,113,398,115,"1,025",43,-571,24,83,16,119,479,"30,185","8,850",393,"24,851",747,476,"30,018","2,243",0,0,640,"3,321",608,"3,020",0,0,337
"$75,000 under $100,000",439,"1,378",538,"37,775",406,"31,850",318,243,112,313,116,886,83,"1,298",31,-180,14,48,*         ,*              ,372,"32,067","7,650",322,"27,835",745,372,"32,067","2,206",*         ,*              ,439,"3,619",429,"3,371",0,0,231
"$100,000 or more     ",459,"1,397",518,"82,562",410,"49,737",375,"2,033",218,"2,157",227,"15,359",95,"2,599",37,-415,22,115,11,86,413,"70,227","11,231",375,"64,633","1,267",412,"70,084","3,989",86,232,458,"13,335",458,"13,570",0,0,299
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98631,"1,489","2,803",628,"62,721","1,042","30,492",758,"2,674",348,"1,877",354,"6,530",270,"2,422",29,-165,55,254,*         ,*              ,398,"32,659","6,914",307,"28,230",950,405,"32,168","1,949",18,112,"1,080","7,190","1,092","7,465",219,346,849
"Under $10,000        ",328,447,74,873,213,"1,065",97,149,55,65,46,-23,66,114,*         ,*              ,0,0,0,0,26,133,368,15,97,15,35,-317,71,0,0,49,7,89,50,97,93,151
"$10,000 under $25,000",415,735,166,"7,041",283,"4,314",157,261,60,130,56,28,58,403,12,-55,*         ,*              ,0,0,45,843,554,31,567,52,44,832,112,0,0,290,213,291,278,90,224,202
"$25,000 under $50,000",347,674,153,"12,498",257,"7,489",187,409,70,218,68,248,59,543,*         ,*              ,25,90,0,0,98,"3,662","1,329",67,"2,488",96,97,"3,632",278,0,0,344,876,319,894,32,29,209
"$50,000 under $75,000",191,464,135,"11,614",147,"7,081",129,299,52,109,58,593,38,415,*         ,*              ,10,53,*         ,*              ,92,"5,636","1,462",71,"4,335",181,92,"5,636",368,0,0,190,"1,091",186,"1,069",0,0,114
"$75,000 under $100,000",104,248,58,"8,938",74,"4,098",89,297,48,175,51,816,23,338,17,-110,20,111,0,0,64,"5,502","1,259",56,"4,822",147,64,"5,502",399,0,0,103,933,103,950,0,0,83
"$100,000 or more     ",104,235,42,"21,757",68,"6,445",99,"1,259",63,"1,180",75,"4,868",26,609,*         ,*              ,*         ,*              ,*         ,*              ,73,"16,883","1,942",67,"15,921",459,73,"16,883",721,18,112,104,"4,070",104,"4,224",0,0,90
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98632,"19,843","41,739","13,028","892,588","16,219","636,469","9,866","18,174","3,878","11,973","3,587","50,970","2,221","24,663",115,-711,456,"1,537",98,"1,480","5,836","460,940","101,608","4,699","397,268","18,499","5,802","456,943","23,687",182,565,"15,608","95,748","14,807","93,625","3,240","5,713","9,555"
"Under $10,000        ","3,628","5,227","1,236","15,648","2,851","14,932",992,878,395,403,380,225,349,312,*         ,*              ,18,52,0,0,107,624,"1,595",70,426,74,135,-566,280,0,0,723,108,"1,006",355,"1,285","1,483","1,437"
"$10,000 under $25,000","4,982","8,904","2,753","84,712","3,758","59,657","1,783","2,752",650,"1,170",558,509,415,"2,468",16,-101,58,142,*         ,*              ,562,"10,318","7,374",395,"7,305",800,541,"9,910","1,162",0,0,"3,740","2,736","3,331","2,932","1,447","3,721","2,483"
"$25,000 under $50,000","4,754","10,117","3,255","173,674","3,927","132,825","2,284","3,182",819,"1,849",719,"1,552",467,"2,697",32,-160,138,417,*         ,*              ,"1,324","50,853","17,973",946,"36,457","2,005","1,301","50,043","3,589",*         ,*              ,"4,674","12,273","4,109","11,117",508,509,"2,255"
"$50,000 under $75,000","3,118","8,100","2,730","192,088","2,714","150,979","2,015","2,600",675,"1,541",627,"2,642",438,"3,874",30,-195,102,323,23,135,"1,499","93,257","23,166","1,210","75,443","2,972","1,488","92,620","5,434",15,21,"3,111","18,186","3,017","16,745",0,0,"1,511"
"$75,000 under $100,000","1,813","5,113","1,710","155,720","1,639","126,304","1,401","2,115",532,"1,484",481,"2,765",254,"2,909",13,-71,72,250,10,81,"1,185","102,202","20,690","1,007","86,914","3,121","1,182","101,947","5,414",17,32,"1,812","16,947","1,799","16,090",0,0,885
"$100,000 or more     ","1,548","4,278","1,344","270,746","1,330","151,772","1,391","6,647",807,"5,526",822,"43,277",298,"12,403",24,-184,68,353,65,"1,264","1,159","203,686","30,810","1,071","190,723","9,527","1,155","202,989","7,808",150,512,"1,548","45,498","1,545","46,386",0,0,984
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98635,686,"1,431",384,"29,133",531,"18,489",338,716,154,611,161,"4,097",118,775,46,-358,12,46,0,0,184,"12,410","2,889",146,"10,482",394,187,"12,094",821,*         ,*              ,509,"2,981",513,"3,033",95,177,418
"Under $10,000        ",137,219,50,-312,89,609,44,109,19,31,27,18,26,10,17,-128,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,11,-201,23,0,0,15,2,35,16,37,51,69
"$10,000 under $25,000",170,310,84,"2,862",122,"1,802",64,95,36,99,35,12,25,224,*         ,*              ,12,46,0,0,37,631,415,26,447,33,30,576,61,0,0,116,80,118,109,44,110,107
"$25,000 under $50,000",171,401,132,"6,360",148,"5,134",84,98,29,34,24,142,27,183,15,-73,*         ,*              ,0,0,40,"1,591",552,27,"1,074",52,40,"1,591",172,0,0,170,426,153,388,14,16,95
"$50,000 under $75,000",96,233,61,"5,975",83,"4,229",61,144,29,100,41,381,27,291,14,-157,*         ,*              ,0,0,44,"2,759",698,35,"2,206",91,43,"2,699",185,0,0,96,555,95,546,0,0,66
"$75,000 under $100,000",55,137,32,"4,647",52,"3,649",34,43,13,8,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,29,"2,418",491,26,"2,182",61,29,"2,418",124,0,0,55,518,55,530,0,0,37
"$100,000 or more     ",57,131,25,"9,601",37,"3,066",51,227,28,339,34,"3,544",13,67,*         ,*              ,0,0,0,0,34,"5,011",733,32,"4,573",157,34,"5,011",256,*         ,*              ,57,"1,400",57,"1,444",0,0,44
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98637,52,83,7,"1,404",34,800,26,21,10,3,*         ,*              ,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,39,99,41,101,*         ,*              ,30
"Under $10,000        ",14,18,1,32,15,167,*         ,*              ,0,0,0,0,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*         ,*              ,*         ,*              ,11
"$10,000 under $25,000",11,14,0,203,*         ,*              ,*         ,*              ,10,3,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,15,9,0,0,*         
"$25,000 under $50,000",27,51,6,"1,169",19,633,26,21,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,27,91,26,92,0,0,19
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*         ,*              ,0,0,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*         ,*              ,0,0,*         
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98638,632,"1,286",347,"24,977",499,"16,983",326,575,166,295,130,687,134,"1,079",24,-52,13,29,*         ,*              ,171,"10,971","2,735",127,"8,519",431,169,"10,848",736,*         ,*              ,494,"2,275",489,"2,329",91,149,335
"Under $10,000        ",108,145,21,320,84,399,29,26,10,10,11,-1,17,7,11,-23,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,17,2,29,9,34,30,39
"$10,000 under $25,000",152,257,59,"2,515",100,"1,518",60,84,30,44,19,108,30,183,*         ,*              ,0,0,0,0,21,340,294,13,190,24,21,288,40,0,0,105,74,109,110,42,103,83
"$25,000 under $50,000",177,360,107,"6,586",148,"4,975",94,107,38,49,27,136,34,269,*         ,*              ,*         ,*              ,0,0,44,"1,736",521,29,"1,136",55,42,"1,665",129,0,0,177,497,160,490,15,16,90
"$50,000 under $75,000",121,329,106,"7,384",103,"5,584",82,175,49,106,38,69,29,248,13,-29,13,29,0,0,56,"3,448",859,45,"2,800",97,56,"3,448",254,0,0,121,654,118,612,0,0,74
"$75,000 under $100,000",39,93,21,"3,437",34,"2,321",30,11,19,18,16,62,24,372,0,0,*         ,*              ,*         ,*              ,28,"2,488",564,22,"1,958",103,28,"2,488",176,0,0,39,381,38,403,0,0,26
"$100,000 or more     ",35,102,33,"4,735",30,"2,186",31,172,20,68,19,313,*         ,*              ,*         ,*              ,0,0,*         ,*              ,22,"2,959",497,18,"2,435",152,22,"2,959",137,*         ,*              ,35,667,35,705,0,0,23
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98639,380,825,231,"20,488",306,"12,930",172,365,60,107,67,"1,450",53,444,0,0,*         ,*              ,*         ,*              ,121,"10,197","2,079",91,"7,149",194,118,"10,018",552,*         ,*              ,303,"2,067",294,"2,467",49,77,196
"Under $10,000        ",56,71,9,261,44,205,10,6,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,10,1,14,3,19,18,31
"$10,000 under $25,000",86,150,38,"1,436",59,883,32,79,14,21,18,-7,18,47,0,0,0,0,0,0,16,241,247,*         ,*              ,*              ,16,230,32,0,0,58,42,58,45,30,59,45
"$25,000 under $50,000",101,226,67,"3,635",83,"2,797",48,61,24,40,23,30,24,133,0,0,*         ,*              ,0,0,25,908,299,25,734,17,24,876,55,0,0,99,245,88,233,*         ,*              ,49
"$50,000 under $75,000",62,177,59,"3,886",57,"3,245",28,23,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,32,"1,997",543,29,"1,805",65,30,"1,861",115,0,0,62,335,59,293,0,0,33
"$75,000 under $100,000",43,118,34,"3,646",35,"2,577",29,34,22,46,12,37,11,264,0,0,0,0,0,0,24,"2,056",411,20,"1,733",67,24,"2,056",102,0,0,43,392,43,380,0,0,18
"$100,000 or more     ",32,83,24,"7,624",28,"3,223",25,162,*         ,*              ,14,"1,390",*         ,*              ,0,0,0,0,*         ,*              ,24,"4,995",579,17,"2,877",45,24,"4,995",248,*         ,*              ,31,"1,052",32,"1,513",0,0,20
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98640,"1,792","3,213",542,"67,543","1,119","29,555","1,007","2,863",447,"1,449",423,"7,019",238,"1,272",*         ,*              ,32,147,*         ,*              ,529,"33,297","9,003",410,"27,560",919,529,"31,707","2,478",13,49,"1,274","6,855","1,246","7,041",256,393,958
"Under $10,000        ",372,523,75,310,237,"1,183",133,185,61,95,59,-26,52,-55,0,0,0,0,0,0,32,179,430,17,88,22,41,"-1,063",108,0,0,50,5,82,33,115,86,166
"$10,000 under $25,000",546,939,174,"9,296",341,"5,032",260,504,97,205,87,82,55,284,0,0,*         ,*              ,0,0,100,"1,732","1,409",72,"1,276",114,96,"1,666",245,0,0,366,255,339,299,104,261,270
"$25,000 under $50,000",443,854,158,"15,728",276,"7,545",275,617,108,280,94,237,62,421,0,0,16,63,0,0,165,"6,000","2,619",126,"4,624",258,163,"5,926",620,0,0,427,978,396,999,37,46,242
"$50,000 under $75,000",241,508,94,"14,649",153,"7,344",169,376,85,313,75,466,38,543,0,0,16,84,0,0,114,"7,074","1,887",92,"5,698",194,112,"6,945",481,0,0,241,"1,375",239,"1,396",0,0,152
"$75,000 under $100,000",91,197,30,"7,733",50,"2,907",77,397,39,189,44,533,14,116,0,0,*         ,*              ,0,0,45,"3,839",910,40,"3,396",85,44,"3,760",254,0,0,91,839,91,862,0,0,54
"$100,000 or more     ",99,192,11,"19,827",62,"5,544",93,784,57,367,64,"5,727",17,-37,*         ,*              ,*         ,*              ,*         ,*              ,73,"14,473","1,748",63,"12,478",246,73,"14,473",770,13,49,99,"3,403",99,"3,452",0,0,74
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98641,99,167,9,"5,776",48,"1,444",64,76,43,64,34,238,14,43,*         ,*              ,*         ,*              ,*         ,*              ,38,"3,524",707,30,"2,330",39,39,"3,546",224,*         ,*              ,76,669,77,743,*         ,*              ,67
"Under $10,000        ",15,20,1,64,12,163,15,11,10,4,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,*         ,*              ,*              ,0,0,0,0,0,*         ,*              ,*         ,*              ,*         ,*              ,11
"$10,000 under $25,000",19,31,2,301,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,14,43,0,0,0,0,0,0,10,346,174,0,0,0,11,368,46,0,0,12,6,13,4,0,0,10
"$25,000 under $50,000",24,42,4,862,13,415,18,25,18,32,24,7,*         ,*              ,0,0,*         ,*              ,0,0,*         ,*              ,*              ,16,745,16,*         ,*              ,*              ,0,0,23,54,23,69,0,0,17
"$50,000 under $75,000",18,35,1,"1,126",13,504,15,15,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,10,646,152,*         ,*              ,*              ,10,646,43,0,0,18,104,18,114,0,0,11
"$75,000 under $100,000",12,20,0,"1,052",10,362,16,25,15,28,10,231,*         ,*              ,0,0,0,0,0,0,18,"2,532",381,14,"1,585",23,18,"2,532",135,0,0,12,129,12,147,0,0,18
"$100,000 or more     ",11,19,1,"2,371",*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,11,376,11,409,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98642,"6,073","13,682","4,258","484,563","4,915","284,599","3,581","11,692","1,886","6,308","1,787","70,151","1,052","22,829",210,"-1,798",221,965,106,"1,908","3,021","370,194","68,136","2,632","341,154","11,104","3,031","366,089","19,934",195,590,"5,025","70,580","4,922","71,515",457,771,"3,480"
"Under $10,000        ",962,"1,222",153,-33,715,"4,650",346,488,183,258,194,345,112,-742,18,-281,0,0,0,0,53,268,911,39,201,48,91,"-2,520",308,0,0,252,45,329,112,161,165,424
"$10,000 under $25,000",998,"1,696",433,"17,031",734,"11,767",411,714,210,338,175,127,138,971,25,31,17,56,*         ,*              ,201,"3,552","3,107",162,"2,865",299,195,"3,441",634,0,0,718,591,698,738,201,506,555
"$25,000 under $50,000","1,215","2,521",765,"45,034",964,"32,486",616,"1,090",282,639,253,530,219,"1,972",24,-57,41,155,*         ,*              ,495,"18,992","7,953",407,"15,729",996,483,"18,519","1,834",0,0,"1,168","3,040","1,064","3,043",95,100,672
"$50,000 under $75,000","1,021","2,722",936,"63,747",863,"46,934",671,"1,564",318,776,283,"1,073",195,"3,253",42,-225,51,202,25,145,670,"42,276","12,769",552,"34,924","1,553",664,"41,928","3,218",0,0,"1,012","5,435",959,"5,282",0,0,607
"$75,000 under $100,000",701,"2,015",708,"60,760",620,"46,620",517,"1,257",246,670,224,"1,391",133,"2,130",31,-512,36,151,13,103,556,"48,427","11,778",488,"42,534","1,361",554,"48,262","3,378",*         ,*              ,700,"6,113",697,"5,887",0,0,395
"$100,000 or more     ","1,176","3,506","1,263","298,024","1,019","142,142","1,020","6,579",647,"3,627",658,"66,685",255,"15,245",70,-754,76,401,68,"1,660","1,046","256,679","31,618",984,"244,901","6,847","1,044","256,459","10,562",195,590,"1,175","55,356","1,175","56,453",0,0,827
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98643,158,320,78,"6,606",117,"4,109",83,158,43,56,36,433,18,74,*         ,*              ,*         ,*              ,0,0,37,"2,526",586,23,"1,377",35,38,"2,511",135,0,0,123,617,123,623,20,37,93
"Under $10,000        ",26,41,7,127,20,118,*         ,*              ,13,10,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,*         ,*              ,*              ,11,335,15,*         ,*              ,*              ,0,0,*         ,*              ,*         ,*              ,*         ,*              ,14
"$10,000 under $25,000",36,67,17,646,24,346,23,27,*         ,*              ,*         ,*              ,18,74,*         ,*              ,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,27,21,32,36,20,37,13
"$25,000 under $50,000",50,107,29,"1,807",39,"1,268",24,77,19,27,24,31,*         ,*              ,*         ,*              ,*         ,*              ,0,0,22,948,305,*         ,*              ,*              ,23,933,74,0,0,50,124,45,115,*         ,*              ,29
"$50,000 under $75,000",20,48,14,"1,198",13,695,15,10,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,*         ,*              ,*              ,12,"1,042",20,*         ,*              ,*              ,0,0,20,98,20,92,0,0,25
"$75,000 under $100,000",13,27,4,"1,112",11,694,10,4,11,19,12,402,*         ,*              ,0,0,0,0,0,0,15,"1,578",281,*         ,*              ,*              ,15,"1,578",61,0,0,13,133,13,133,0,0,*         
"$100,000 or more     ",13,30,7,"1,716",10,988,11,40,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,13,241,13,247,0,0,12
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98644,355,662,153,"13,305",273,"7,841",178,596,83,308,85,566,70,398,*         ,*              ,11,32,0,0,86,"5,832","1,458",67,"4,752",246,85,"5,698",320,*         ,*              ,274,"1,264",263,"1,291",41,65,193
"Under $10,000        ",74,99,17,277,54,278,25,15,14,22,16,-5,12,27,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,12,1,22,8,15,16,34
"$10,000 under $25,000",99,153,29,"1,674",80,"1,212",38,88,17,46,16,-4,12,78,0,0,11,32,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,80,60,71,68,26,49,50
"$25,000 under $50,000",86,184,51,"3,108",65,"1,909",47,100,16,21,18,79,19,130,*         ,*              ,*         ,*              ,0,0,35,"1,179",481,25,776,78,36,"1,165",94,0,0,86,203,75,196,*         ,*              ,51
"$50,000 under $75,000",54,125,33,"3,335",41,"2,129",36,206,21,134,21,52,27,163,*         ,*              ,*         ,*              ,0,0,37,"2,534",689,29,"2,020",106,35,"2,414",148,0,0,54,313,53,314,0,0,31
"$75,000 under $100,000",23,52,8,"2,021",19,"1,179",16,29,15,85,*         ,*              ,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,23,234,23,234,0,0,13
"$100,000 or more     ",19,49,15,"2,890",14,"1,134",16,158,*         ,*              ,14,444,*         ,*              ,0,0,0,0,0,0,14,"2,119",288,13,"1,956",62,14,"2,119",78,*         ,*              ,19,453,19,471,0,0,14
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98645,461,"1,045",315,"23,341",371,"16,059",263,332,87,169,84,"1,180",67,163,*         ,*              ,*         ,*              ,0,0,153,"12,391","2,746",123,"10,610",244,153,"12,217",807,*         ,*              ,369,"2,507",355,"2,389",56,96,231
"Under $10,000        ",70,100,18,240,53,282,25,13,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,16,3,22,8,19,23,29
"$10,000 under $25,000",96,183,47,"1,617",69,948,44,60,33,31,20,6,23,149,0,0,0,0,0,0,15,283,209,11,197,35,17,248,35,0,0,60,43,60,61,24,57,45
"$25,000 under $50,000",112,244,73,"4,104",90,"3,036",59,66,*         ,*              ,12,124,12,-16,0,0,*         ,*              ,0,0,33,"1,290",454,23,880,40,32,"1,253",97,0,0,110,276,92,244,13,16,60
"$50,000 under $75,000",74,212,80,"4,468",65,"3,770",49,43,19,13,18,40,14,-51,*         ,*              ,*         ,*              ,0,0,34,"2,097",559,26,"1,605",28,34,"2,097",180,0,0,74,393,73,345,0,0,39
"$75,000 under $100,000",69,189,57,"5,951",59,"4,402",50,41,24,36,22,216,18,81,0,0,0,0,0,0,38,"3,296",767,33,"2,875",72,38,"3,296",224,0,0,69,629,68,597,0,0,32
"$100,000 or more     ",40,117,40,"6,961",35,"3,621",36,109,11,89,12,794,*         ,*              ,*         ,*              ,0,0,0,0,33,"5,425",757,30,"5,053",69,32,"5,323",271,*         ,*              ,40,"1,163",40,"1,134",0,0,26
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98647,170,375,107,"5,504",139,"3,935",56,63,15,5,17,224,32,114,*         ,*              ,*         ,*              ,0,0,32,"1,914",506,16,"1,001",13,32,"1,943",163,0,0,113,396,114,424,40,65,103
"Under $10,000        ",42,65,13,138,30,146,19,5,*         ,*              ,*         ,*              ,12,21,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*         ,*              ,14,11,24
"$10,000 under $25,000",43,87,26,751,36,601,*         ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,*         ,*              ,*              ,0,0,0,*         ,*              ,*              ,0,0,29,23,37,38,16,41,18
"$25,000 under $50,000",50,131,43,"1,830",42,"1,291",19,8,15,5,*         ,*              ,10,59,*         ,*              ,0,0,0,0,15,532,215,*         ,*              ,*              ,15,536,55,0,0,49,102,42,104,10,13,35
"$50,000 under $75,000",20,49,10,"1,250",19,943,18,50,*         ,*              ,17,224,10,34,*         ,*              ,0,0,0,0,17,"1,382",291,16,"1,001",13,17,"1,407",108,0,0,20,111,20,121,0,0,15
"$75,000 under $100,000",15,43,15,"1,535",12,954,*         ,*              ,0,0,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,15,160,15,161,0,0,11
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98648,"1,274","2,574",723,"60,651","1,045","41,139",591,"1,266",275,972,274,"3,921",213,"2,593",10,-3,30,118,*         ,*              ,440,"36,037","7,972",335,"30,361",967,439,"35,291","2,016",17,48,986,"6,875",973,"6,943",190,318,692
"Under $10,000        ",225,315,62,400,171,"1,209",61,50,30,29,23,-9,34,198,10,-3,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,12,-502,26,0,0,33,5,63,36,73,80,98
"$10,000 under $25,000",313,531,144,"5,288",245,"3,788",97,120,40,86,28,23,43,375,0,0,*         ,*              ,0,0,59,982,773,38,687,48,52,947,102,0,0,228,174,219,225,89,209,173
